Country,League,home_team,away_team,home_score,away_score,season_year,first_half,second_half,home_team_goals_current_time,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals,away_team_goals_assist,home_team_yellow_card_why,away_team_yellow_card_why,home_team_red_card_why,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,expected_goals_xg_home,expected_goals_xg_away,Ball_Possession_Home,Ball_Possession_Away,Shots_on_Goal_Home,Shots_on_Goal_Away,Offsides_Home,Offsides_Away,Goalkeeper_Saves_Home,Goalkeeper_Saves_Away,Fouls_Home,Fouls_Away,Red_Cards_Home,Red_Cards_Away,Yellow_Cards_Home,Yellow_Cards_Away,Total_Passes_Home,Total_Passes_Away,resultado,diferencia_goles,total_goles,Mayor_Posesion,equipo_mas_amarillas,equipo_recibe_mas_tiros,portero_mas_paradas,minuto_gol_home,minuto_gol_away,equipo_marco_primero,equipo_ganador,anoto_primero_y_gano,save_ratio_home,save_ratio_away,equipo_mas_faltas,mas_faltas_perdio,gana_quien_mas_amarillas
Germany,Bundesliga,Union Berlin,Eintracht Frankfurt,1,1,2024/2025,0 - 1,1 - 0,"[""66'""]",['Hollerbach B.'],['(Skov R.)'],"[""14'""]",['Gotze M.'],['(Skhiri E.)'],"['(Holding)', '(Unsportsmanlike conduct)', '(Foul)', '(Roughing)', '(Tripping)']","['(Unsportsmanlike conduct)', '(Roughing)']",,['(Roughing)'],"[""65'"", ""65'"", ""65'"", ""76'"", ""84'""]","['Skov R.', 'Schafer A.', 'Siebatcheu J.', 'Skarke T.', 'Benes L.']","['Rothe T.', 'Kemlein A.', 'Jeong Woo-Yeong', 'Hollerbach B.', 'Vertessen Y.']","[""38'"", ""65'"", ""65'"", ""82'"", ""82'""]","['Dina Ebimbe J.', 'Chaibi F.', 'Matanovic I.', 'Amenda A.', 'Brown N.']","['Kristensen R.', 'Gotze M.', 'Ekitike H.', 'Knauff A.', 'Marmoush O.']",1.44,1.81,48.0,52.0,4.0,5.0,4.0,1.0,4.0,3.0,13.0,7.0,0.0,1.0,5.0,3.0,460.0,486.0,empate,0,2,visitante,local,local,local,66.0,14.0,away,draw,0,0.8,0.75,home,1,False
Germany,Bundesliga,Bochum,Bayern Munich,0,5,2024/2025,0 - 2,0 - 3,,,,"[""16'"", ""26'"", ""57'"", ""65'"", ""71'""]","['Olise M.', 'Musiala J.', 'Kane H.', 'Sane L.', 'Coman K.']","['-', '(Kimmich J.)', '(Musiala J.)', '-', '(Davies A.)']",['(Roughing)'],['(Foul)'],,,"[""46'"", ""61'"", ""71'"", ""71'"", ""85'""]","['Gamboa C.', 'Daschner L.', 'Miyoshi K.', 'Hofmann P.', 'Pannewig M.']","['Passlack F.', 'Oermann T.', 'de Wit D.', 'Broschinski M.', 'Sissoko I.']","[""61'"", ""61'"", ""61'"", ""69'"", ""78'""]","['Sane L.', 'Muller T.', 'Goretzka L.', 'Tel M.', 'Dier E.']","['Olise M.', 'Musiala J.', 'Palhinha J.', 'Kane H.', 'Kim Min-Jae']",0.52,2.23,27.0,73.0,2.0,9.0,2.0,2.0,4.0,2.0,15.0,6.0,0.0,0.0,1.0,1.0,261.0,750.0,visitante,5,5,visitante,igual,local,local,,16.0,away,away,1,0.4444444444444444,1.0,home,1,False
Germany,Bundesliga,Werder Bremen,Bayer Leverkusen,2,2,2024/2025,0 - 1,2 - 1,"[""74'"", ""90'""]","['Ducksch M.', 'Schmid R.']","['(Malatini J.)', '(Njinmah J.)']","[""30'"", ""77'""]","['Boniface V.', 'Agu F.']","['(Frimpong J.)', '(Own goal)']",['(Tripping)'],['(Unsportsmanlike conduct)'],,,"[""68'"", ""82'"", ""82'"", ""82'"", ""86'""]","['Njinmah J.', 'Burke O.', 'Kohn D.', 'Jung A.', 'Topp K.']","['Bittencourt L.', 'Grull M.', 'Agu F.', 'Pieper A.', 'Malatini J.']","[""70'"", ""82'""]","['Schick P.', 'Garcia A.']","['Boniface V.', 'Terrier M.']",1.28,1.2,43.0,57.0,8.0,6.0,3.0,1.0,4.0,6.0,9.0,11.0,0.0,0.0,1.0,1.0,466.0,614.0,empate,0,4,visitante,igual,visitante,visitante,74.0,30.0,away,draw,0,0.6666666666666666,0.75,away,1,False
Germany,Bundesliga,Augsburg,Dortmund,2,1,2024/2025,1 - 1,1 - 0,"[""25'"", ""50'""]","['Claude-Maurice A.', 'Claude-Maurice A.']","['(Wolf M.)', '-']","[""4'""]",['Malen D.'],['(Guirassy S.)'],"['(Foul)', '(Unsportsmanlike conduct)', '(Roughing)']","['(Foul)', '(Foul)']",,['(Holding)'],"[""75'"", ""75'"", ""82'"", ""82'"", ""82'""]","['Koudossou H.', 'Essende S.', 'Bauer M.', 'Kabadayi Y.', 'Maier A.']","['Wolf M.', 'Tietz P.', 'Matsima C.', 'Claude-Maurice A.', 'Onyeka F.']","[""46'"", ""46'"", ""63'"", ""68'"", ""88'""]","['Can E.', 'Gross P.', 'Beier M.', 'Kabar A.', 'Campbell C.']","['Anton W.', 'Sabitzer M.', 'Nmecha F.', 'Ryerson J.', 'Malen D.']",0.55,0.92,23.0,77.0,4.0,4.0,1.0,1.0,3.0,2.0,13.0,10.0,0.0,1.0,3.0,3.0,219.0,724.0,local,1,3,visitante,igual,igual,local,25.0,4.0,away,home,0,0.75,0.5,home,0,False
Germany,Bundesliga,RB Leipzig,Freiburg,3,1,2024/2025,0 - 1,3 - 0,"[""47'"", ""58'"", ""78'""]","['Orban W.', 'Geertruida L.', 'Openda L.']","['(Henrichs B.)', '(Openda L.)', '(Andre Silva)']","[""15'""]",['Doan R.'],['(Grifo V.)'],"['(Foul)', '(Unsportsmanlike conduct)', '(Tripping)']","['(Roughing)', '(Roughing)']",,,"[""46'"", ""65'"", ""65'"", ""80'"", ""80'""]","['Vandevoordt M.', 'Vermeeren A.', 'Andre Silva', 'Klostermann L.', 'Bitshiabu E.']","['Gulacsi P.', 'Haidara A.', 'Sesko B.', 'Geertruida L.', 'Lukeba C.']","[""68'"", ""68'"", ""68'"", ""87'"", ""87'""]","['Gregoritsch M.', 'Muslija F.', 'Sildillia K.', 'Holer L.', 'Ginter M.']","['Adamu J.', 'Grifo V.', 'Kubler L.', 'Dinkci E.', 'Gunter C.']",1.9,1.65,42.0,58.0,9.0,5.0,1.0,1.0,4.0,6.0,9.0,7.0,0.0,0.0,3.0,2.0,417.0,559.0,local,2,4,visitante,local,visitante,visitante,47.0,15.0,away,home,0,0.8,0.6666666666666666,home,0,True
Germany,Bundesliga,St. Pauli,Wolfsburg,0,0,2024/2025,0 - 0,0 - 0,,,,,,,,"['(Holding)', '(Roughing)', '(Unsportsmanlike conduct)']",,,"[""66'"", ""82'"", ""87'""]","['Afolayan O.', 'Banks S.', 'Wagner R.']","['Sinani D.', 'Eggestein J.', 'Boukhalfa C.']","[""67'"", ""78'"", ""89'""]","['Kaminski J.', 'Majer L.', 'Behrens K.']","['Fischer K.', 'Wind J.', 'Amoura M.']",0.83,1.1,54.0,46.0,5.0,4.0,2.0,2.0,4.0,5.0,9.0,12.0,0.0,0.0,0.0,3.0,497.0,434.0,empate,0,0,local,visitante,visitante,visitante,,,ninguno,draw,0,1.0,1.0,away,1,False
Germany,Bundesliga,Stuttgart,Holstein Kiel,2,1,2024/2025,1 - 0,1 - 1,"[""19'"", ""61'""]","['Undav D.', 'Toure E. B.']","['(Toure E. B.)', '(Chabot J.)']","[""84'""]",['Gigovic A.'],['(Harres P.)'],"['(Holding)', '(Foul)']","['(Foul)', '(Tripping)', '(Tripping)', '(Tripping)', '(Tripping)']",['(Unsportsmanlike conduct)'],['(Tripping)'],"[""62'"", ""62'"", ""70'"", ""70'"", ""87'""]","['Demirovic E.', 'Fuhrich C.', 'Rouault A.', 'Karazor A.', 'Hendriks R.']","['Toure E. B.', 'Rieder F.', 'Millot E.', 'Undav D.', 'Leweling J.']","[""46'"", ""58'"", ""70'"", ""70'"", ""80'""]","['Skrzybski S.', 'Remberg N.', 'Machino S.', 'Puchacz T.', 'Harres P.']","['Pichler B.', 'Knudsen M.', 'Schulz M.', 'Porath F.', 'Geschwill M.']",1.23,0.4,59.0,41.0,6.0,3.0,2.0,3.0,2.0,4.0,6.0,17.0,1.0,1.0,3.0,6.0,530.0,363.0,local,1,3,local,visitante,visitante,visitante,19.0,84.0,home,home,1,0.6666666666666666,0.6666666666666666,away,1,False
Germany,Bundesliga,Mainz,B. Monchengladbach,1,1,2024/2025,0 - 0,1 - 1,"[""55'""]",['Lainer S.'],['(Nebel P.)'],"[""57'""]",['Kleindienst T.'],['(Honorat F.)'],"['(Unsportsmanlike conduct)', '(Tripping)', '(Unsportsmanlike conduct)']","['(Roughing)', '(Roughing)']",,,"[""20'"", ""81'"", ""87'"", ""87'""]","['Sieb A.', 'Hong Hyun-Seok', 'Weiper N.', 'Widmer S.']","['Burkardt J.', 'Lee Jae-Sung', 'Sieb A.', 'Caci A.']","[""58'"", ""72'"", ""72'"", ""90+3'""]","['Stoger K.', 'Sander P.', 'Cvancara T.', 'Chiarodia F. C.']","['Plea A.', 'Reitz R.', 'Hack R.', 'Honorat F.']",1.6,0.6,52.0,48.0,6.0,5.0,2.0,0.0,4.0,5.0,16.0,16.0,0.0,0.0,3.0,2.0,472.0,438.0,empate,0,2,local,local,visitante,visitante,55.0,57.0,home,draw,0,0.8,0.8333333333333334,empate,0,False
Germany,Bundesliga,Wolfsburg,Werder Bremen,2,4,2024/2025,1 - 1,1 - 3,"[""19'"", ""79'""]","['Tomas T.', 'Maehle J.']","['-', '-']","[""45+5'"", ""51'"", ""67'"", ""72'""]","['Weiser M.', 'Agu F.', 'Ducksch M.', 'Grull M.']","['(Ducksch M.)', '-', '(Weiser M.)', '(Ducksch M.)']","['(Delay of game, misses next match)']",['(Tripping)'],['(Tripping)'],,"[""42'"", ""65'"", ""65'"", ""78'""]","['Gerhardt Y.', 'Wimmer P.', 'Fischer K.', 'Maehle J.']","['Arnold M.', 'Koulierakis K.', 'Baku R.', 'Wind J.']","[""23'"", ""84'"", ""84'"", ""84'"", ""90+5'""]","['Pieper A.', 'Kohn D.', 'Deman O.', 'Topp K.', 'Burke O.']","['Jung A.', 'Agu F.', 'Malatini J.', 'Grull M.', 'Ducksch M.']",2.2,2.08,43.0,57.0,6.0,7.0,4.0,0.0,3.0,4.0,15.0,9.0,1.0,0.0,1.0,1.0,390.0,533.0,visitante,2,6,visitante,igual,local,visitante,19.0,5.0,away,away,1,0.4285714285714285,0.6666666666666666,home,1,False
Germany,Bundesliga,Holstein Kiel,Union Berlin,0,2,2024/2025,0 - 1,0 - 1,,,,"[""18'"", ""89'""]","['Kemlein A.', 'Rothe T.']","['(Rothe T.)', '(Benes L.)']","['(Roughing)', '(Tripping)']",['(Delay of game)'],,,"[""34'"", ""46'"", ""68'"", ""79'"", ""79'""]","['Skrzybski S.', 'Machino S.', 'Puchacz T.', 'Schulz M.', 'Arp J.-F.']","['Bernhardsson A.', 'Knudsen M.', 'Erras P.', 'Porath F.', 'Gigovic A.']","[""27'"", ""75'"", ""75'"", ""87'"", ""87'""]","['Jeong Woo-Yeong', 'Benes L.', 'Siebatcheu J.', 'Skov R.', 'Haberer J.']","['Skarke T.', 'Vertessen Y.', 'Hollerbach B.', 'Siebatcheu J.', 'Kemlein A.']",1.37,1.1,47.0,53.0,5.0,4.0,1.0,4.0,2.0,5.0,8.0,11.0,0.0,0.0,2.0,1.0,433.0,480.0,visitante,2,2,visitante,local,visitante,visitante,,18.0,away,away,1,0.5,1.0,away,0,False
